t01,exxEng01AVG,StressEng01AVG,eyyEng01AVG,0,exxHencky01SOI,StressTrue01AVG,SR0Hencky1AVG,eyyHencky01AVG,t02,exxEng02AVG,StressEng02AVG,eyyEng02AVG,0,exxHencky02SOI,StressTrue02AVG,SR0Hencky2AVG,eyyHencky02AVG,t03,exxEng03AVG,StressEng03AVG,eyyEng03AVG,0,exxHencky03SOI,StressTrue03AVG,SR0Hencky3AVG,eyyHencky03AVG
9.7979,0.00772159276,8.95979167,-0.0033024109,0,9.7979,0.007710061,9.02897553,-0.000197469,9.798,0.00762838921,8.94791667,-0.00335368631,0,9.798,0.00761013701,9.01617486,-6.57e-05,9.865,0.00772467627,8.95425,-0.00313723349,0,9.865,0.00769556535,9.02341868,8.46e-05
9.9992,0.00763532276,8.955625,-0.0029276609,0,9.9992,0.007623471,9.02400409,-0.000309405,9.999,0.00762113921,8.941375,-0.00335897631,0,9.999,0.00760077701,9.00951846,5.4e-05,10.0663,0.00774092627,8.949375,-0.00310616349,0,10.0663,0.00771102535,9.01865145,6.53e-05
10.2006,0.00759716276,8.9495,-0.0030737009,0,10.2006,0.007585461,9.01749081,3.53e-06,10.201,0.00765304921,8.935,-0.00333323631,0,10.201,0.00763188701,9.00337999,-2.6e-07,10.2676,0.00775239627,8.94383333,-0.00315787349,0,10.2676,0.00772183535,9.01316947,-1.03e-05
10.4019,0.00763656276,8.94604167,-0.0031604209,0,10.4019,0.007624891,9.01435868,0.000176149,10.402,0.00762118921,8.92991667,-0.00334271631,0,10.402,0.00760067701,8.99797325,-0.000135549,10.4689,0.00773642627,8.93954167,-0.00309192349,0,10.4689,0.00770685535,9.00870177,-4.03e-05
10.6368,0.00767589276,8.93975,-0.0030806909,0,10.6368,0.007662291,9.00837056,8.96e-05,10.603,0.00759769921,8.92458333,-0.00335496631,0,10.603,0.00757731701,8.99238963,2.49e-05,10.6703,0.00773639627,8.93475,-0.00309243349,0,10.6703,0.00770559535,9.00387277,-2.23e-05
10.8045,0.00767299276,8.93541667,-0.0031643209,0,10.8045,0.007660951,9.00397805,0.000157827,10.805,0.00763098921,8.91941667,-0.00323147631,0,10.805,0.00761068701,8.98748064,0.000116374,10.8716,0.00772902627,8.93091667,-0.00312215349,0,10.8716,0.00769788535,8.99994396,-4.71e-06
11.0059,0.00773144276,8.93120833,-0.0031286709,0,11.0059,0.007720551,9.00025946,-0.000112661,11.006,0.00764480921,8.91570833,-0.00328997631,0,11.006,0.00762417701,8.98386722,-5.21e-05,11.0729,0.00773379627,8.92695833,-0.00311612349,0,11.0729,0.00770370535,8.99599761,1.43e-05
11.2072,0.00762750276,8.926625,-0.0031527709,0,11.2072,0.007615591,8.99471286,-0.00024533,11.207,0.00761119921,8.91033333,-0.00322258631,0,11.207,0.00758971701,8.97815166,-1.78e-05,11.2742,0.00773353627,8.9225,-0.00309025349,0,11.2742,0.00770365535,8.99150248,-7.82e-05
11.4085,0.00763207276,8.9235,-0.0031962509,0,11.4085,0.007621781,8.9916048,6.18e-05,11.408,0.00763613921,8.90654167,-0.00332434631,0,11.408,0.00761701701,8.97455326,-6.72e-05,11.4756,0.00770229627,8.91829167,-0.00320124349,0,11.4756,0.00767220535,8.98698299,-0.000186935
11.6098,0.00765267276,8.91891667,-0.0031964609,0,11.6098,0.007640461,8.98717022,-2.93e-05,11.61,0.00758412921,8.9015,-0.00336002631,0,11.61,0.00756264701,8.96901013,0.000155352,11.6769,0.00765847627,8.91591667,-0.00317113349,0,11.6769,0.00762837535,8.984199,5.15e-05
